Layer Name,Weight n°,Shape
densenet121,1,"(7, 7, 3, 64)"
densenet121,2,"(64,)"
densenet121,3,"(64,)"
densenet121,4,"(64,)"
densenet121,5,"(64,)"
densenet121,6,"(64,)"
densenet121,7,"(64,)"
densenet121,8,"(64,)"
densenet121,9,"(64,)"
densenet121,10,"(1, 1, 64, 128)"
densenet121,11,"(128,)"
densenet121,12,"(128,)"
densenet121,13,"(128,)"
densenet121,14,"(128,)"
densenet121,15,"(3, 3, 128, 32)"
densenet121,16,"(96,)"
densenet121,17,"(96,)"
densenet121,18,"(96,)"
densenet121,19,"(96,)"
densenet121,20,"(1, 1, 96, 128)"
densenet121,21,"(128,)"
densenet121,22,"(128,)"
densenet121,23,"(128,)"
densenet121,24,"(128,)"
densenet121,25,"(3, 3, 128, 32)"
densenet121,26,"(128,)"
densenet121,27,"(128,)"
densenet121,28,"(128,)"
densenet121,29,"(128,)"
densenet121,30,"(1, 1, 128, 128)"
densenet121,31,"(128,)"
densenet121,32,"(128,)"
densenet121,33,"(128,)"
densenet121,34,"(128,)"
densenet121,35,"(3, 3, 128, 32)"
densenet121,36,"(160,)"
densenet121,37,"(160,)"
densenet121,38,"(160,)"
densenet121,39,"(160,)"
densenet121,40,"(1, 1, 160, 128)"
densenet121,41,"(128,)"
densenet121,42,"(128,)"
densenet121,43,"(128,)"
densenet121,44,"(128,)"
densenet121,45,"(3, 3, 128, 32)"
densenet121,46,"(192,)"
densenet121,47,"(192,)"
densenet121,48,"(192,)"
densenet121,49,"(192,)"
densenet121,50,"(1, 1, 192, 128)"
densenet121,51,"(128,)"
densenet121,52,"(128,)"
densenet121,53,"(128,)"
densenet121,54,"(128,)"
densenet121,55,"(3, 3, 128, 32)"
densenet121,56,"(224,)"
densenet121,57,"(224,)"
densenet121,58,"(224,)"
densenet121,59,"(224,)"
densenet121,60,"(1, 1, 224, 128)"
densenet121,61,"(128,)"
densenet121,62,"(128,)"
densenet121,63,"(128,)"
densenet121,64,"(128,)"
densenet121,65,"(3, 3, 128, 32)"
densenet121,66,"(256,)"
densenet121,67,"(256,)"
densenet121,68,"(256,)"
densenet121,69,"(256,)"
densenet121,70,"(1, 1, 256, 128)"
densenet121,71,"(128,)"
densenet121,72,"(128,)"
densenet121,73,"(128,)"
densenet121,74,"(128,)"
densenet121,75,"(1, 1, 128, 128)"
densenet121,76,"(128,)"
densenet121,77,"(128,)"
densenet121,78,"(128,)"
densenet121,79,"(128,)"
densenet121,80,"(3, 3, 128, 32)"
densenet121,81,"(160,)"
densenet121,82,"(160,)"
densenet121,83,"(160,)"
densenet121,84,"(160,)"
densenet121,85,"(1, 1, 160, 128)"
densenet121,86,"(128,)"
densenet121,87,"(128,)"
densenet121,88,"(128,)"
densenet121,89,"(128,)"
densenet121,90,"(3, 3, 128, 32)"
densenet121,91,"(192,)"
densenet121,92,"(192,)"
densenet121,93,"(192,)"
densenet121,94,"(192,)"
densenet121,95,"(1, 1, 192, 128)"
densenet121,96,"(128,)"
densenet121,97,"(128,)"
densenet121,98,"(128,)"
densenet121,99,"(128,)"
densenet121,100,"(3, 3, 128, 32)"
densenet121,101,"(224,)"
densenet121,102,"(224,)"
densenet121,103,"(224,)"
densenet121,104,"(224,)"
densenet121,105,"(1, 1, 224, 128)"
densenet121,106,"(128,)"
densenet121,107,"(128,)"
densenet121,108,"(128,)"
densenet121,109,"(128,)"
densenet121,110,"(3, 3, 128, 32)"
densenet121,111,"(256,)"
densenet121,112,"(256,)"
densenet121,113,"(256,)"
densenet121,114,"(256,)"
