Layer Name,Weight n°,Shape
efficientnetb0,1,"(3,)"
efficientnetb0,2,"(3,)"
efficientnetb0,3,()
efficientnetb0,4,"(3, 3, 3, 32)"
efficientnetb0,5,"(32,)"
efficientnetb0,6,"(32,)"
efficientnetb0,7,"(32,)"
efficientnetb0,8,"(32,)"
efficientnetb0,9,"(3, 3, 32, 1)"
efficientnetb0,10,"(32,)"
efficientnetb0,11,"(32,)"
efficientnetb0,12,"(32,)"
efficientnetb0,13,"(32,)"
efficientnetb0,14,"(1, 1, 32, 8)"
efficientnetb0,15,"(8,)"
efficientnetb0,16,"(1, 1, 8, 32)"
efficientnetb0,17,"(32,)"
efficientnetb0,18,"(1, 1, 32, 16)"
efficientnetb0,19,"(16,)"
efficientnetb0,20,"(16,)"
efficientnetb0,21,"(16,)"
efficientnetb0,22,"(16,)"
efficientnetb0,23,"(1, 1, 16, 96)"
efficientnetb0,24,"(96,)"
efficientnetb0,25,"(96,)"
efficientnetb0,26,"(96,)"
efficientnetb0,27,"(96,)"
efficientnetb0,28,"(3, 3, 96, 1)"
efficientnetb0,29,"(96,)"
efficientnetb0,30,"(96,)"
efficientnetb0,31,"(96,)"
efficientnetb0,32,"(96,)"
efficientnetb0,33,"(1, 1, 96, 4)"
efficientnetb0,34,"(4,)"
efficientnetb0,35,"(1, 1, 4, 96)"
efficientnetb0,36,"(96,)"
efficientnetb0,37,"(1, 1, 96, 24)"
efficientnetb0,38,"(24,)"
efficientnetb0,39,"(24,)"
efficientnetb0,40,"(24,)"
efficientnetb0,41,"(24,)"
efficientnetb0,42,"(1, 1, 24, 144)"
efficientnetb0,43,"(144,)"
efficientnetb0,44,"(144,)"
efficientnetb0,45,"(144,)"
efficientnetb0,46,"(144,)"
efficientnetb0,47,"(3, 3, 144, 1)"
efficientnetb0,48,"(144,)"
efficientnetb0,49,"(144,)"
efficientnetb0,50,"(144,)"
efficientnetb0,51,"(144,)"
efficientnetb0,52,"(1, 1, 144, 6)"
efficientnetb0,53,"(6,)"
efficientnetb0,54,"(1, 1, 6, 144)"
efficientnetb0,55,"(144,)"
efficientnetb0,56,"(1, 1, 144, 24)"
efficientnetb0,57,"(24,)"
efficientnetb0,58,"(24,)"
efficientnetb0,59,"(24,)"
efficientnetb0,60,"(24,)"
efficientnetb0,61,"(1, 1, 24, 144)"
efficientnetb0,62,"(144,)"
efficientnetb0,63,"(144,)"
efficientnetb0,64,"(144,)"
efficientnetb0,65,"(144,)"
efficientnetb0,66,"(5, 5, 144, 1)"
efficientnetb0,67,"(144,)"
efficientnetb0,68,"(144,)"
efficientnetb0,69,"(144,)"
efficientnetb0,70,"(144,)"
efficientnetb0,71,"(1, 1, 144, 6)"
efficientnetb0,72,"(6,)"
efficientnetb0,73,"(1, 1, 6, 144)"
efficientnetb0,74,"(144,)"
efficientnetb0,75,"(1, 1, 144, 40)"
efficientnetb0,76,"(40,)"
efficientnetb0,77,"(40,)"
efficientnetb0,78,"(40,)"
efficientnetb0,79,"(40,)"
efficientnetb0,80,"(1, 1, 40, 240)"
efficientnetb0,81,"(240,)"
efficientnetb0,82,"(240,)"
efficientnetb0,83,"(240,)"
efficientnetb0,84,"(240,)"
efficientnetb0,85,"(5, 5, 240, 1)"
efficientnetb0,86,"(240,)"
efficientnetb0,87,"(240,)"
efficientnetb0,88,"(240,)"
efficientnetb0,89,"(240,)"
efficientnetb0,90,"(1, 1, 240, 10)"
efficientnetb0,91,"(10,)"
efficientnetb0,92,"(1, 1, 10, 240)"
efficientnetb0,93,"(240,)"
efficientnetb0,94,"(1, 1, 240, 40)"
efficientnetb0,95,"(40,)"
efficientnetb0,96,"(40,)"
efficientnetb0,97,"(40,)"
efficientnetb0,98,"(40,)"
efficientnetb0,99,"(1, 1, 40, 240)"
efficientnetb0,100,"(240,)"
efficientnetb0,101,"(240,)"
efficientnetb0,102,"(240,)"
efficientnetb0,103,"(240,)"
efficientnetb0,104,"(3, 3, 240, 1)"
efficientnetb0,105,"(240,)"
efficientnetb0,106,"(240,)"
efficientnetb0,107,"(240,)"
efficientnetb0,108,"(240,)"
efficientnetb0,109,"(1, 1, 240, 10)"
efficientnetb0,110,"(10,)"
efficientnetb0,111,"(1, 1, 10, 240)"
efficientnetb0,112,"(240,)"
efficientnetb0,113,"(1, 1, 240, 80)"
efficientnetb0,114,"(80,)"
efficientnetb0,115,"(80,)"
efficientnetb0,116,"(80,)"
efficientnetb0,117,"(80,)"
efficientnetb0,118,"(1, 1, 80, 480)"
efficientnetb0,119,"(480,)"
efficientnetb0,120,"(480,)"
efficientnetb0,121,"(480,)"
efficientnetb0,122,"(480,)"
efficientnetb0,123,"(3, 3, 480, 1)"
efficientnetb0,124,"(480,)"
efficientnetb0,125,"(480,)"
efficientnetb0,126,"(480,)"
efficientnetb0,127,"(480,)"
efficientnetb0,128,"(1, 1, 480, 20)"
efficientnetb0,129,"(20,)"
efficientnetb0,130,"(1, 1, 20, 480)"
efficientnetb0,131,"(480,)"
