Layer Name,Weight n°,Shape
conv1_conv,1,"(7, 7, 3, 64)"
conv1_conv,2,"(64,)"
conv1_bn,1,"(64,)"
conv1_bn,2,"(64,)"
conv1_bn,3,"(64,)"
conv1_bn,4,"(64,)"
conv2_block1_1_conv,1,"(1, 1, 64, 64)"
conv2_block1_1_conv,2,"(64,)"
conv2_block1_1_bn,1,"(64,)"
conv2_block1_1_bn,2,"(64,)"
conv2_block1_1_bn,3,"(64,)"
conv2_block1_1_bn,4,"(64,)"
conv2_block1_2_conv,1,"(3, 3, 64, 64)"
conv2_block1_2_conv,2,"(64,)"
conv2_block1_2_bn,1,"(64,)"
conv2_block1_2_bn,2,"(64,)"
conv2_block1_2_bn,3,"(64,)"
conv2_block1_2_bn,4,"(64,)"
conv2_block1_0_conv,1,"(1, 1, 64, 256)"
conv2_block1_0_conv,2,"(256,)"
conv2_block1_3_conv,1,"(1, 1, 64, 256)"
conv2_block1_3_conv,2,"(256,)"
conv2_block1_0_bn,1,"(256,)"
conv2_block1_0_bn,2,"(256,)"
conv2_block1_0_bn,3,"(256,)"
conv2_block1_0_bn,4,"(256,)"
conv2_block1_3_bn,1,"(256,)"
conv2_block1_3_bn,2,"(256,)"
conv2_block1_3_bn,3,"(256,)"
conv2_block1_3_bn,4,"(256,)"
conv2_block2_1_conv,1,"(1, 1, 256, 64)"
conv2_block2_1_conv,2,"(64,)"
conv2_block2_1_bn,1,"(64,)"
conv2_block2_1_bn,2,"(64,)"
conv2_block2_1_bn,3,"(64,)"
conv2_block2_1_bn,4,"(64,)"
conv2_block2_2_conv,1,"(3, 3, 64, 64)"
conv2_block2_2_conv,2,"(64,)"
conv2_block2_2_bn,1,"(64,)"
conv2_block2_2_bn,2,"(64,)"
conv2_block2_2_bn,3,"(64,)"
conv2_block2_2_bn,4,"(64,)"
conv2_block2_3_conv,1,"(1, 1, 64, 256)"
conv2_block2_3_conv,2,"(256,)"
conv2_block2_3_bn,1,"(256,)"
conv2_block2_3_bn,2,"(256,)"
conv2_block2_3_bn,3,"(256,)"
conv2_block2_3_bn,4,"(256,)"
conv2_block3_1_conv,1,"(1, 1, 256, 64)"
conv2_block3_1_conv,2,"(64,)"
conv2_block3_1_bn,1,"(64,)"
conv2_block3_1_bn,2,"(64,)"
conv2_block3_1_bn,3,"(64,)"
conv2_block3_1_bn,4,"(64,)"
conv2_block3_2_conv,1,"(3, 3, 64, 64)"
conv2_block3_2_conv,2,"(64,)"
conv2_block3_2_bn,1,"(64,)"
conv2_block3_2_bn,2,"(64,)"
